State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Paradise Valley Unified District,"=""0405930""",Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0406""",Elementary,711,35,346,365,3,87,56,5,515,"=""0""",45,39.00,18.23,Yes participating without using any Provision or the CEO,"=""040593000606""",Sonoran Sky Elementary School,4241,Paradise Valley Unified District,76,Math
Arizona,Pendergast Elementary District,"=""0406210""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0403""",Elementary,668,346,368,300,20,18,414,71,112,4,29,34.00,19.65,Yes participating without using any Provision or the CEO,"=""040621002136""",Sonoran Sky Elementary School,4283,Pendergast Elementary District,23,English Language Arts
Arizona,Pendergast Elementary District,"=""0406210""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0403""",Elementary,668,346,368,300,20,18,414,71,112,4,29,34.00,19.65,Yes participating without using any Provision or the CEO,"=""040621002136""",Sonoran Sky Elementary School,4283,Pendergast Elementary District,19,Math
Arizona,Cave Creek Unified District,"=""0400001""",Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0406""",Middle,935,65,484,451,1,24,88,9,791,2,20,35.80,26.12,Yes participating without using any Provision or the CEO,"=""040000101871""",Sonoran Trails Middle School,4244,Cave Creek Unified District,59,English Language Arts
Arizona,Cave Creek Unified District,"=""0400001""",Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0406""",Middle,935,65,484,451,1,24,88,9,791,2,20,35.80,26.12,Yes participating without using any Provision or the CEO,"=""040000101871""",Sonoran Trails Middle School,4244,Cave Creek Unified District,63,Math
Arizona,Sahuarita Unified District,"=""0407300""",Pima County,"=""04019""",2-No,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0403""",Elementary,153,130,76,77,1,1,117,2,32,"=""0""","=""0""",15.00,10.20,Yes participating without using any Provision or the CEO,"=""040730000628""",Sopori Elementary School,4411,Sahuarita Unified District,22,English Language Arts
Arizona,Sahuarita Unified District,"=""0407300""",Pima County,"=""04019""",2-No,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0403""",Elementary,153,130,76,77,1,1,117,2,32,"=""0""","=""0""",15.00,10.20,Yes participating without using any Provision or the CEO,"=""040730000628""",Sopori Elementary School,4411,Sahuarita Unified District,23,Math
Arizona,Higley Unified School District,"=""0403780""",Maricopa County,"=""04013""",2-No,–,"=""0405""",Middle,1018,162,544,474,11,28,209,34,689,6,41,46.40,21.94,Yes participating without using any Provision or the CEO,"=""040378003401""",Sossaman Middle School,4248,Higley Unified School District,62,English Language Arts
Arizona,Higley Unified School District,"=""0403780""",Maricopa County,"=""04013""",2-No,–,"=""0405""",Middle,1018,162,544,474,11,28,209,34,689,6,41,46.40,21.94,Yes participating without using any Provision or the CEO,"=""040378003401""",Sossaman Middle School,4248,Higley Unified School District,61,Math
Arizona,Mesa Unified District,"=""0404970""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0405""",Elementary,510,269,272,238,10,1,143,6,337,1,12,32.60,15.64,Yes participating without using any Provision or the CEO,"=""040497001410""",Sousa Elementary School,4235,Mesa Unified District,44,English Language Arts
Arizona,Mesa Unified District,"=""0404970""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0405""",Elementary,510,269,272,238,10,1,143,6,337,1,12,32.60,15.64,Yes participating without using any Provision or the CEO,"=""040497001410""",Sousa Elementary School,4235,Mesa Unified District,46,Math
Arizona,Phoenix Union High School District,"=""0406330""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",High,1977,1660,1006,971,35,6,1592,244,61,7,32,109.60,18.04,Yes participating without using any Provision or the CEO,"=""040633000552""",South Mountain High School,4286,Phoenix Union High School District,16,English Language Arts
