State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Pupil/Teacher Ratio,Full-Time Equivalent (FTE) Teachers,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",No,Tolleson Union High School District (4288),"=""0408520""",477,High,–,203,274,3,62,315,28,51,3,15,28.06,17.00,"=""040852003206""",4288,University High School,Tolleson Union High School District,89,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",No,Tolleson Union High School District (4288),"=""0408520""",477,High,–,203,274,3,62,315,28,51,3,15,28.06,17.00,"=""040852003206""",4288,University High School,Tolleson Union High School District,91,Mathematics
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",361,Middle,284,181,180,15,"=""0""",286,33,20,"=""0""",7,12.01,30.05,"=""040880000896""",4403,Utterback Middle School,Tucson Unified District,13,English Language Arts
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",361,Middle,284,181,180,15,"=""0""",286,33,20,"=""0""",7,12.01,30.05,"=""040880000896""",4403,Utterback Middle School,Tucson Unified District,11,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes under Community Eligibility Option (CEO),Roosevelt Elementary District (4279),"=""0407080""",385,Elementary,322,218,167,2,2,342,29,8,"=""0""",2,20.26,19.00,"=""040708000593""",4279,V H Lassen Elementary School,Roosevelt Elementary District,19,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes under Community Eligibility Option (CEO),Roosevelt Elementary District (4279),"=""0407080""",385,Elementary,322,218,167,2,2,342,29,8,"=""0""",2,20.26,19.00,"=""040708000593""",4279,V H Lassen Elementary School,Roosevelt Elementary District,17,Mathematics
Arizona,Pima County,"=""04019""",2-No,–,"=""0402""",Yes participating without using any Provision or the CEO,Vail Unified District (4413),"=""0408850""",466,Other,82,238,228,4,22,157,37,222,"=""0""",24,20.68,22.53,"=""040885001955""",4413,Vail Academy & High School,Vail Unified District,62,English Language Arts
Arizona,Pima County,"=""04019""",2-No,–,"=""0402""",Yes participating without using any Provision or the CEO,Vail Unified District (4413),"=""0408850""",466,Other,82,238,228,4,22,157,37,222,"=""0""",24,20.68,22.53,"=""040885001955""",4413,Vail Academy & High School,Vail Unified District,68,Mathematics
Arizona,Pima County,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0402""",No,Vail Unified District (4413),"=""0408850""",162,Other,–,76,86,"=""0""",4,45,2,97,1,13,81.00,2.00,"=""040885003214""",4413,Vail Innovation Center,Vail Unified District,51,English Language Arts
Arizona,Pima County,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0402""",No,Vail Unified District (4413),"=""0408850""",162,Other,–,76,86,"=""0""",4,45,2,97,1,13,81.00,2.00,"=""040885003214""",4413,Vail Innovation Center,Vail Unified District,46,Mathematics
