State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Coconino County,4005.0,2-No,5-Title I schoolwide school,401.0,Yes under Community Eligibility Option (CEO),Elementary,Flagstaff Unified District (4192),402860.0,334,226,155,179,112,1,168,3,35,1,14,27.00,12.37,"=""040286000217""",4192,W F Killip Elementary School,Flagstaff Unified District,*,English Language Arts
Arizona,Coconino County,4005.0,2-No,5-Title I schoolwide school,401.0,Yes under Community Eligibility Option (CEO),Elementary,Flagstaff Unified District (4192),402860.0,334,226,155,179,112,1,168,3,35,1,14,27.00,12.37,"=""040286000217""",4192,W F Killip Elementary School,Flagstaff Unified District,15,Mathematics
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Tucson Unified District (4403),408800.0,300,69,156,144,5,5,133,24,87,9,37,21.85,13.73,"=""040880000905""",4403,W V Whitmore Elementary School,Tucson Unified District,*,English Language Arts
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Tucson Unified District (4403),408800.0,300,69,156,144,5,5,133,24,87,9,37,21.85,13.73,"=""040880000905""",4403,W V Whitmore Elementary School,Tucson Unified District,12,Mathematics
Arizona,Santa Cruz County,4023.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Middle,Nogales Unified District (4457),405530.0,541,508,266,275,0,0,540,0,1,0,0,26.00,20.81,"=""040553000456""",4457,Wade Carpenter Middle School,Nogales Unified District,24,English Language Arts
Arizona,Santa Cruz County,4023.0,2-No,5-Title I schoolwide school,403.0,Yes under Community Eligibility Option (CEO),Middle,Nogales Unified District (4457),405530.0,541,508,266,275,0,0,540,0,1,0,0,26.00,20.81,"=""040553000456""",4457,Wade Carpenter Middle School,Nogales Unified District,15,Mathematics
Arizona,Pima County,4019.0,2-No,3-Title I schoolwide eligible-Title I targeted assistance program,403.0,Yes participating without using any Provision or the CEO,Middle,Tucson Unified District (4403),408800.0,145,58,81,64,9,0,127,2,6,0,1,12.40,11.69,"=""040880000901""",4403,Wakefield Middle School,Tucson Unified District,*,English Language Arts
Arizona,Pima County,4019.0,2-No,3-Title I schoolwide eligible-Title I targeted assistance program,403.0,Yes participating without using any Provision or the CEO,Middle,Tucson Unified District (4403),408800.0,145,58,81,64,9,0,127,2,6,0,1,12.40,11.69,"=""040880000901""",4403,Wakefield Middle School,Tucson Unified District,32,Mathematics
Arizona,Pima County,4019.0,2-No,1-Title I targeted assistance eligible school-No program,402.0,Yes participating without using any Provision or the CEO,High,Sahuarita Unified District (4411),407300.0,1120,107,583,537,5,15,632,17,409,2,40,53.38,20.98,"=""040730003183""",4411,Walden Grove High School,Sahuarita Unified District,41,English Language Arts
Arizona,Pima County,4019.0,2-No,1-Title I targeted assistance eligible school-No program,402.0,Yes participating without using any Provision or the CEO,High,Sahuarita Unified District (4411),407300.0,1120,107,583,537,5,15,632,17,409,2,40,53.38,20.98,"=""040730003183""",4411,Walden Grove High School,Sahuarita Unified District,39,Mathematics
Arizona,Pinal County,4021.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Elementary,Florence Unified School District (4437),402920.0,672,178,345,327,9,4,236,50,334,7,32,43.25,15.54,"=""040292002210""",4437,Walker Butte K-8,Florence Unified School District,26,English Language Arts
Arizona,Pinal County,4021.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Elementary,Florence Unified School District (4437),402920.0,672,178,345,327,9,4,236,50,334,7,32,43.25,15.54,"=""040292002210""",4437,Walker Butte K-8,Florence Unified School District,21,Mathematics
Arizona,La Paz County,4012.0,2-No,5-Title I schoolwide school,404.0,Yes under Community Eligibility Option (CEO),Elementary,Parker Unified School District (4510),405980.0,341,241,188,153,99,2,162,0,59,0,19,19.01,17.94,"=""040598000495""",4510,Wallace Elementary School,Parker Unified School District,21,English Language Arts
Arizona,La Paz County,4012.0,2-No,5-Title I schoolwide school,404.0,Yes under Community Eligibility Option (CEO),Elementary,Parker Unified School District (4510),405980.0,341,241,188,153,99,2,162,0,59,0,19,19.01,17.94,"=""040598000495""",4510,Wallace Elementary School,Parker Unified School District,34,Mathematics
Arizona,La Paz County,4012.0,2-No,5-Title I schoolwide school,404.0,Yes under Community Eligibility Option (CEO),Middle,Parker Unified School District (4510),405980.0,379,181,201,178,104,2,166,2,86,0,19,22.01,17.22,"=""040598001977""",4510,Wallace Jr High School,Parker Unified School District,22,English Language Arts
Arizona,La Paz County,4012.0,2-No,5-Title I schoolwide school,404.0,Yes under Community Eligibility Option (CEO),Middle,Parker Unified School District (4510),405980.0,379,181,201,178,104,2,166,2,86,0,19,22.01,17.22,"=""040598001977""",4510,Wallace Jr High School,Parker Unified School District,18,Mathematics
Arizona,Cochise County,4003.0,2-No,5-Title I schoolwide school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Tombstone Unified District (4168),408600.0,154,101,78,76,3,0,45,2,88,2,14,9.15,16.83,"=""040860000810""",4168,Walter J Meyer School,Tombstone Unified District,44,English Language Arts
Arizona,Cochise County,4003.0,2-No,5-Title I schoolwide school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Tombstone Unified District (4168),408600.0,154,101,78,76,3,0,45,2,88,2,14,9.15,16.83,"=""040860000810""",4168,Walter J Meyer School,Tombstone Unified District,25,Mathematics
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,409.0,Yes participating without using any Provision or the CEO,Elementary,Tempe School District (4258),408310.0,386,38,189,197,6,25,131,21,176,2,25,31.00,12.45,"=""040831003112""",4258,Ward Traditional Academy,Tempe School District,66,English Language Arts
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,409.0,Yes participating without using any Provision or the CEO,Elementary,Tempe School District (4258),408310.0,386,38,189,197,6,25,131,21,176,2,25,31.00,12.45,"=""040831003112""",4258,Ward Traditional Academy,Tempe School District,56,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,693,630,356,337,26,15,449,114,69,0,20,47.00,14.74,"=""040906000947""",4260,Washington Elementary School,Washington Elementary School District,*,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes under Community Eligibility Option (CEO),Elementary,Washington Elementary School District (4260),409060.0,693,630,356,337,26,15,449,114,69,0,20,47.00,14.74,"=""040906000947""",4260,Washington Elementary School,Washington Elementary School District,9,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes participating without using any Provision or the CEO,Elementary,Mesa Unified District (4235),404970.0,470,149,252,218,35,10,154,43,174,11,43,29.60,15.88,"=""040497000417""",4235,Washington Elementary School,Mesa Unified District,34,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes participating without using any Provision or the CEO,Elementary,Mesa Unified District (4235),404970.0,470,149,252,218,35,10,154,43,174,11,43,29.60,15.88,"=""040497000417""",4235,Washington Elementary School,Mesa Unified District,24,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,High,Glendale Union High School District (4285),403450.0,1845,616,925,920,72,110,1190,206,220,6,41,79.20,23.30,"=""040345000283""",4285,Washington High School,Glendale Union High School District,29,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,407.0,Yes participating without using any Provision or the CEO,High,Glendale Union High School District (4285),403450.0,1845,616,925,920,72,110,1190,206,220,6,41,79.20,23.30,"=""040345000283""",4285,Washington High School,Glendale Union High School District,32,Mathematics
Arizona,Navajo County,4017.0,2-No,6-Not a Title I school,401.0,Yes participating without using any Provision or the CEO,Elementary,Winslow Unified District (4387),409460.0,260,93,149,111,118,1,80,1,50,1,9,13.00,20.00,"=""040946000974""",4387,Washington School,Winslow Unified District,29,English Language Arts
Arizona,Navajo County,4017.0,2-No,6-Not a Title I school,401.0,Yes participating without using any Provision or the CEO,Elementary,Winslow Unified District (4387),409460.0,260,93,149,111,118,1,80,1,50,1,9,13.00,20.00,"=""040946000974""",4387,Washington School,Winslow Unified District,25,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes participating without using any Provision or the CEO,Elementary,Mesa Unified District (4235),404970.0,639,284,340,299,57,1,377,71,96,4,33,42.00,15.21,"=""040497000418""",4235,Webster Elementary School,Mesa Unified District,*,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,409.0,Yes participating without using any Provision or the CEO,Elementary,Mesa Unified District (4235),404970.0,639,284,340,299,57,1,377,71,96,4,33,42.00,15.21,"=""040497000418""",4235,Webster Elementary School,Mesa Unified District,12,Mathematics
Arizona,Maricopa County,4013.0,2-No,1-Title I targeted assistance eligible school-No program,405.0,Yes participating without using any Provision or the CEO,Elementary,Chandler Unified District #80 (4242),401870.0,485,5,278,207,0,92,35,5,315,1,37,26.28,18.46,"=""040187001155""",4242,Weinberg Gifted Academy,Chandler Unified District #80,92,English Language Arts
